SensorID,Temp,Salinity,PH,NH4,DO,CA,Timestamp
Sensor-24,25.33,0.32,7.51,29.89,5.79,8.27,2025-06-02 12:21:03
Sensor-25,37.21,1.33,5.43,52.16,5.17,2.86,2025-06-03 01:11:11
Sensor-26,22.19,0.37,7.16,37.20,5.41,3.34,2025-06-02 10:23:54
Sensor-27,26.00,0.29,7.35,39.86,9.44,7.65,2025-06-03 01:46:51
Sensor-28,17.12,1.61,9.71,72.95,12.57,5.55,2025-06-03 06:14:33
Sensor-29,15.67,1.23,6.61,76.38,12.28,9.07,2025-06-02 22:58:43
Sensor-30,35.31,1.32,4.22,92.21,10.13,8.76,2025-06-03 04:30:38
Sensor-31,26.22,0.34,8.17,29.25,8.70,8.19,2025-06-03 02:47:19
Sensor-32,31.34,1.37,5.61,49.24,7.05,5.77,2025-06-02 22:11:53
Sensor-33,25.92,0.41,7.58,22.23,11.17,8.63,2025-06-03 05:48:42
Sensor-34,23.00,0.57,3.92,59.40,7.72,3.54,2025-06-02 14:18:07
Sensor-35,27.76,0.02,7.39,17.99,11.02,7.64,2025-06-02 18:15:53
Sensor-36,39.16,1.72,6.09,54.77,5.71,11.09,2025-06-02 13:41:34
Sensor-37,26.84,0.25,6.90,25.59,7.86,4.13,2025-06-02 09:42:18
Sensor-38,24.13,1.10,9.10,74.48,7.83,2.86,2025-06-03 03:39:40
Sensor-39,16.85,1.65,6.33,44.55,2.47,13.13,2025-06-03 03:29:28
Sensor-40,15.10,1.55,9.69,96.24,12.27,4.10,2025-06-03 03:51:59
Sensor-41,32.75,0.98,4.71,58.38,13.11,5.58,2025-06-02 11:23:16
Sensor-42,31.45,0.44,4.83,45.34,4.80,7.74,2025-06-02 12:36:39
Sensor-43,36.00,0.55,3.71,60.41,7.18,13.54,2025-06-03 05:38:49
Sensor-44,23.98,0.02,7.18,32.78,11.63,7.11,2025-06-02 15:42:47
Sensor-45,21.02,0.37,7.11,12.04,8.87,5.29,2025-06-02 15:43:57
Sensor-46,24.47,0.46,7.06,19.85,6.16,7.47,2025-06-02 15:34:16
Sensor-47,12.24,0.79,3.24,77.11,1.54,6.67,2025-06-02 23:07:52
Sensor-48,22.81,0.12,7.45,37.28,11.71,4.66,2025-06-02 15:24:41
Sensor-49,25.16,0.39,6.96,31.78,6.29,9.51,2025-06-03 03:37:52
Sensor-50,11.73,1.80,9.16,59.66,10.67,7.68,2025-06-03 00:15:42
Sensor-51,16.88,0.82,8.01,44.53,7.25,14.99,2025-06-02 14:14:28
Sensor-52,29.85,0.27,7.35,19.70,7.23,4.68,2025-06-02 10:26:52
Sensor-53,26.90,0.26,8.11,33.10,8.29,6.78,2025-06-02 21:25:48
Sensor-54,22.55,1.96,9.55,54.82,11.36,7.29,2025-06-03 05:24:31
Sensor-55,21.77,1.87,3.78,81.13,7.81,7.15,2025-06-03 08:27:44
Sensor-56,24.14,1.34,9.56,72.55,13.17,5.58,2025-06-02 09:34:43
Sensor-57,21.78,0.48,6.69,41.92,7.41,0.39,2025-06-02 17:00:03
Sensor-58,25.87,0.48,7.24,24.43,9.14,4.39,2025-06-02 17:54:43
Sensor-59,25.72,0.21,7.68,1.99,7.61,7.32,2025-06-02 17:23:28
Sensor-60,19.32,0.44,3.52,62.37,9.11,14.00,2025-06-03 03:49:26
Sensor-61,27.94,0.29,6.78,17.77,10.12,3.90,2025-06-02 11:10:11
Sensor-62,25.32,0.36,8.46,5.80,9.24,7.47,2025-06-02 22:37:55
Sensor-63,34.32,0.83,7.70,85.61,13.31,5.66,2025-06-03 00:30:22
Sensor-64,17.88,1.66,6.97,70.84,6.00,1.25,2025-06-02 23:12:04
Sensor-65,28.85,0.54,5.65,75.52,2.17,4.56,2025-06-02 10:41:35
Sensor-66,12.33,0.85,5.53,92.25,14.95,14.32,2025-06-02 16:11:05
Sensor-67,20.41,1.12,7.17,42.88,0.62,12.66,2025-06-02 11:47:25
Sensor-68,30.21,0.52,6.07,96.46,11.77,1.13,2025-06-02 18:10:01
Sensor-69,26.99,0.34,7.15,38.57,10.62,8.90,2025-06-03 00:21:41
Sensor-70,17.65,1.31,8.15,98.15,2.45,8.10,2025-06-02 14:00:06
Sensor-71,23.32,0.19,7.81,31.83,11.90,3.76,2025-06-02 17:58:49
Sensor-72,24.93,0.45,7.68,21.09,11.86,3.48,2025-06-02 20:01:04
Sensor-73,18.80,1.61,4.87,41.95,14.33,0.79,2025-06-02 16:50:23
Sensor-74,22.98,0.17,6.55,39.24,5.25,6.94,2025-06-02 16:30:06
Sensor-75,27.60,0.54,3.88,58.82,14.62,5.94,2025-06-02 20:07:32
Sensor-76,27.24,0.25,8.48,26.40,10.59,4.06,2025-06-03 04:17:19
Sensor-77,14.47,0.52,4.89,45.58,11.14,6.68,2025-06-03 07:10:41
Sensor-78,25.88,0.24,7.29,35.45,9.63,8.87,2025-06-02 12:55:02
Sensor-79,23.19,1.11,8.53,84.69,14.88,5.20,2025-06-03 05:41:03
Sensor-80,21.06,1.63,3.29,64.98,2.61,6.78,2025-06-03 07:43:54
Sensor-81,35.85,1.15,7.49,73.65,11.86,13.56,2025-06-02 17:43:52
Sensor-82,25.63,0.31,7.84,30.59,8.58,3.26,2025-06-02 15:54:16
Sensor-83,24.60,0.10,8.41,31.41,10.77,6.88,2025-06-03 09:10:50
Sensor-84,27.08,0.14,7.42,38.85,11.33,3.75,2025-06-03 02:41:14
Sensor-85,23.78,0.18,6.98,45.54,6.18,3.02,2025-06-03 04:56:48
Sensor-86,26.26,0.33,7.27,14.49,8.56,6.37,2025-06-02 10:28:28
Sensor-87,25.84,0.48,7.75,35.89,9.57,6.40,2025-06-03 07:56:13
Sensor-88,29.59,0.42,7.86,44.02,10.69,3.95,2025-06-03 04:11:12
Sensor-89,16.68,0.56,8.37,89.59,1.32,6.81,2025-06-03 03:05:06
Sensor-90,22.92,1.26,9.38,66.66,7.02,11.29,2025-06-02 15:41:46
Sensor-91,14.32,1.76,6.74,71.02,10.34,11.58,2025-06-02 12:37:19
Sensor-92,21.55,0.43,7.22,39.01,8.55,3.13,2025-06-03 02:47:33
Sensor-93,30.91,1.97,6.85,69.17,0.65,5.04,2025-06-03 07:05:20
Sensor-94,28.98,1.53,4.96,55.69,5.81,0.54,2025-06-02 14:31:07
Sensor-95,38.23,1.80,9.54,48.30,11.09,1.74,2025-06-02 19:57:45
Sensor-96,21.45,0.30,8.08,13.67,11.05,8.17,2025-06-03 06:35:44
Sensor-97,26.61,0.24,7.63,30.24,8.23,5.80,2025-06-03 08:17:26
Sensor-98,20.19,1.23,9.21,71.46,2.19,0.46,2025-06-02 10:13:15
Sensor-99,24.35,0.24,7.73,48.01,10.04,8.57,2025-06-02 14:43:14
Sensor-100,29.52,0.17,6.94,33.13,5.71,8.78,2025-06-02 15:26:48
Sensor-1,22.61,0.66,8.34,76.60,12.95,6.92,2025-06-02 15:02:34
Sensor-2,21.02,0.12,7.64,4.77,11.42,3.44,2025-06-03 04:45:06
Sensor-3,23.26,0.33,7.00,28.28,9.19,4.67,2025-06-02 11:44:40
Sensor-4,22.53,1.03,4.66,41.91,6.92,1.23,2025-06-03 03:33:10
Sensor-5,22.90,1.36,5.94,73.58,14.96,9.28,2025-06-02 14:36:45
Sensor-6,36.93,1.24,3.94,40.13,9.60,9.43,2025-06-02 13:56:54
Sensor-7,26.79,0.48,3.12,90.19,3.12,6.02,2025-06-02 16:45:24
Sensor-8,33.46,1.34,5.23,63.92,11.63,4.94,2025-06-02 15:08:08
Sensor-9,30.05,0.85,7.56,76.78,7.95,5.99,2025-06-03 05:08:20
Sensor-10,37.74,0.85,7.74,60.53,10.06,10.93,2025-06-03 01:04:28
Sensor-11,24.73,0.45,6.93,28.95,5.92,3.26,2025-06-02 14:04:40
Sensor-12,20.74,0.22,8.17,38.39,7.53,3.48,2025-06-03 02:22:57
Sensor-13,35.46,1.63,7.96,40.56,6.31,9.67,2025-06-02 17:45:45
Sensor-14,16.76,1.04,9.59,48.09,3.18,6.28,2025-06-03 02:23:49
Sensor-15,31.97,1.39,3.62,72.93,7.58,10.04,2025-06-02 12:16:21
Sensor-16,25.78,0.45,7.35,48.56,7.91,3.64,2025-06-02 20:57:31
Sensor-17,21.62,0.35,6.91,49.83,7.96,7.09,2025-06-02 21:33:27
Sensor-18,10.31,1.01,5.62,62.40,4.49,11.59,2025-06-03 01:53:00
Sensor-19,38.51,1.74,5.07,55.52,6.43,9.12,2025-06-02 20:05:14
Sensor-20,19.91,1.49,3.04,44.36,10.85,7.76,2025-06-03 08:32:02
Sensor-21,37.08,1.29,4.85,62.83,2.89,13.32,2025-06-02 21:38:51
Sensor-22,25.71,0.40,7.73,22.41,9.42,7.63,2025-06-02 13:56:50
Sensor-23,29.42,0.48,7.10,39.97,8.63,8.74,2025-06-03 02:23:54
Sensor-24,27.85,1.04,8.24,70.46,14.41,10.27,2025-06-03 01:45:41
Sensor-25,23.54,0.43,8.33,25.56,6.21,7.70,2025-06-03 05:08:34
Sensor-26,33.17,1.35,4.17,96.22,9.46,14.45,2025-06-03 08:27:37
Sensor-27,15.40,0.70,4.97,57.05,14.55,0.83,2025-06-02 11:55:22
Sensor-28,19.42,1.94,9.77,51.59,10.44,2.26,2025-06-02 19:21:15
Sensor-29,14.82,1.58,7.76,72.71,12.46,6.34,2025-06-02 11:14:08
Sensor-30,23.69,0.01,6.68,45.59,7.73,3.81,2025-06-02 16:30:08
Sensor-31,13.83,1.89,4.94,83.90,7.76,3.46,2025-06-02 23:43:53
Sensor-32,22.84,0.39,7.65,39.39,7.29,3.95,2025-06-02 18:00:55
Sensor-33,29.82,0.06,8.48,10.36,10.09,5.97,2025-06-02 10:56:45
Sensor-34,24.76,0.36,6.57,24.59,10.96,4.73,2025-06-02 12:13:58
Sensor-35,29.77,0.37,7.11,13.95,7.57,9.33,2025-06-03 04:01:56
Sensor-36,34.37,1.01,9.89,51.24,14.95,3.95,2025-06-02 22:19:34
Sensor-37,33.45,0.72,4.69,92.92,12.43,11.44,2025-06-02 18:23:29
Sensor-38,29.04,0.40,8.12,36.87,8.26,4.41,2025-06-03 04:22:57
Sensor-39,24.72,1.76,7.36,78.91,12.93,1.77,2025-06-02 23:47:21
Sensor-40,37.12,0.41,7.24,95.64,0.85,3.25,2025-06-03 00:55:08
Sensor-41,14.69,0.64,7.74,64.38,6.62,12.22,2025-06-02 11:09:35
Sensor-42,21.63,0.32,6.51,36.62,7.41,3.23,2025-06-02 18:50:17
Sensor-43,21.62,0.42,7.76,20.08,9.39,5.97,2025-06-03 00:25:46
Sensor-44,27.38,0.36,7.94,14.59,9.24,9.14,2025-06-02 17:18:06
Sensor-45,20.97,0.43,6.61,6.72,10.40,5.74,2025-06-03 06:11:40
Sensor-46,21.82,1.17,6.64,62.20,13.94,11.40,2025-06-02 14:42:52
Sensor-47,26.68,0.48,8.08,35.35,11.28,3.65,2025-06-02 17:05:02
Sensor-48,24.43,0.20,7.13,33.95,7.68,8.26,2025-06-03 09:03:11
Sensor-49,37.63,1.22,9.46,74.50,11.73,5.06,2025-06-03 04:21:17
Sensor-50,15.99,1.33,5.95,63.67,0.31,11.12,2025-06-03 02:44:43
Sensor-51,29.02,0.50,6.94,37.77,9.29,7.79,2025-06-02 21:02:12
Sensor-52,28.40,0.32,7.65,24.06,11.93,6.07,2025-06-02 15:42:26
Sensor-53,18.67,0.48,7.68,94.44,7.30,7.69,2025-06-02 16:07:34
Sensor-54,10.00,0.44,9.42,69.34,8.66,10.99,2025-06-03 04:22:06
Sensor-55,36.75,0.58,4.29,46.85,2.24,3.59,2025-06-02 10:58:56
Sensor-56,20.07,0.20,7.25,41.89,9.88,7.87,2025-06-02 12:56:45
Sensor-57,31.88,1.34,8.11,80.06,9.57,11.23,2025-06-02 18:14:41
Sensor-58,27.06,0.03,8.20,15.53,8.00,5.60,2025-06-02 11:33:36
Sensor-59,11.30,0.82,3.47,90.81,0.95,11.41,2025-06-02 12:36:06
Sensor-60,38.10,0.42,7.23,92.94,11.27,6.61,2025-06-02 17:04:35
Sensor-61,27.83,0.14,7.47,47.82,6.85,6.91,2025-06-02 15:12:56
Sensor-62,28.52,0.46,8.37,8.39,6.12,6.23,2025-06-02 17:35:47
Sensor-63,13.01,1.75,9.11,89.39,7.65,9.93,2025-06-02 13:29:31
Sensor-64,29.74,0.07,8.13,26.13,5.92,5.11,2025-06-03 05:35:30
Sensor-65,13.67,0.74,7.38,86.66,4.97,2.99,2025-06-02 22:14:30
Sensor-66,29.48,0.27,6.78,2.40,5.13,5.46,2025-06-03 05:46:42
Sensor-67,24.14,0.31,7.85,28.18,10.25,3.33,2025-06-03 02:19:17
Sensor-68,31.42,1.51,4.20,69.06,10.65,3.66,2025-06-02 15:26:06
Sensor-69,21.05,0.36,6.84,11.22,11.69,9.35,2025-06-03 07:54:16
Sensor-70,29.12,0.02,7.24,27.34,9.25,4.56,2025-06-02 15:31:36
Sensor-71,26.44,1.20,8.15,65.30,13.35,1.25,2025-06-02 20:21:39
Sensor-72,27.72,0.44,7.89,20.19,7.36,4.36,2025-06-02 23:13:59
Sensor-73,10.65,1.55,5.78,70.89,9.66,10.32,2025-06-02 12:27:43
Sensor-74,26.58,1.16,5.03,73.40,4.73,1.87,2025-06-02 14:50:06
Sensor-75,28.81,0.31,7.19,10.13,10.15,6.61,2025-06-02 11:10:34
Sensor-76,26.35,0.39,8.24,46.23,7.89,6.05,2025-06-03 06:38:33
Sensor-77,24.28,0.38,7.64,44.69,8.78,3.63,2025-06-03 02:08:49
Sensor-78,20.56,0.25,7.65,20.90,6.06,8.83,2025-06-03 03:49:32
Sensor-79,31.24,1.64,3.09,83.55,6.15,10.60,2025-06-03 05:38:18
Sensor-80,28.17,0.36,6.56,10.63,7.75,7.90,2025-06-02 10:39:09
Sensor-81,34.90,1.12,4.30,79.43,0.16,0.28,2025-06-02 12:18:09
Sensor-82,24.85,1.12,5.96,60.66,2.07,4.50,2025-06-03 02:53:08
Sensor-83,20.50,1.54,6.11,99.91,6.82,13.34,2025-06-03 01:52:04
Sensor-84,18.36,1.40,4.75,89.41,14.10,14.79,2025-06-03 06:16:52
Sensor-85,21.13,0.15,7.69,41.58,8.96,7.05,2025-06-02 11:39:41
Sensor-86,15.26,1.29,6.13,66.48,1.11,0.60,2025-06-03 06:51:29
Sensor-87,37.78,1.86,7.22,74.96,14.24,7.20,2025-06-03 08:53:02
Sensor-88,14.07,0.43,6.96,88.58,5.35,7.85,2025-06-02 14:40:02
Sensor-89,29.29,0.32,7.10,7.17,6.98,4.33,2025-06-02 18:32:26
Sensor-90,24.77,0.26,8.05,8.68,9.40,8.90,2025-06-02 12:16:16
Sensor-91,26.84,0.33,7.44,4.04,11.21,4.80,2025-06-02 13:29:20
Sensor-92,24.10,0.06,7.55,32.44,7.10,7.80,2025-06-03 06:30:22
Sensor-93,38.98,0.59,9.64,96.70,5.31,4.05,2025-06-02 19:07:38
Sensor-94,25.93,0.09,7.76,46.03,7.32,5.01,2025-06-02 18:19:11
Sensor-95,26.42,0.39,8.35,46.42,6.36,6.28,2025-06-02 23:43:35
Sensor-96,30.25,0.94,9.74,67.14,8.75,5.58,2025-06-02 13:55:04
Sensor-97,25.82,0.47,8.10,41.79,10.80,4.14,2025-06-02 22:47:43
Sensor-98,32.32,1.54,4.95,42.31,5.41,9.60,2025-06-02 18:38:11
Sensor-99,23.41,0.16,8.09,7.03,6.45,7.48,2025-06-02 16:46:08
Sensor-100,27.08,1.63,4.84,49.28,2.07,14.65,2025-06-02 18:06:02
Sensor-1,24.93,0.33,8.24,14.28,9.48,9.05,2025-06-03 01:54:24
Sensor-2,35.60,1.62,4.27,47.59,5.37,14.81,2025-06-02 21:57:24
Sensor-3,26.28,0.40,6.77,37.28,9.79,3.73,2025-06-03 03:40:31
Sensor-4,13.20,0.42,3.46,61.45,11.24,3.76,2025-06-02 20:24:00
Sensor-5,29.75,0.09,7.85,49.20,6.18,5.18,2025-06-03 02:55:34
Sensor-6,24.61,0.00,6.58,0.60,11.78,9.27,2025-06-03 09:17:15
Sensor-7,20.75,0.45,6.58,28.35,8.50,5.85,2025-06-02 15:07:08
Sensor-8,29.71,0.98,3.29,59.02,13.62,0.13,2025-06-02 10:22:35
Sensor-9,21.78,0.01,8.20,26.93,10.61,6.90,2025-06-02 17:29:37
Sensor-10,25.87,0.47,6.56,28.32,7.33,7.85,2025-06-02 12:48:28
Sensor-11,25.80,1.45,7.38,98.33,1.66,5.96,2025-06-02 21:45:33
Sensor-12,23.95,0.45,8.15,9.41,8.39,4.41,2025-06-02 19:38:34
Sensor-13,33.46,0.64,4.16,80.42,5.43,6.27,2025-06-03 03:13:14
Sensor-14,23.83,0.16,7.50,22.88,5.60,4.36,2025-06-03 03:31:25
Sensor-15,18.78,1.11,9.20,95.42,6.76,11.78,2025-06-02 15:41:28
Sensor-16,25.55,0.01,6.93,15.64,10.63,9.22,2025-06-03 01:43:14
